,English Paragraph,Chinese Paragraph
4725,"(b)  Business Tax (""BT""), Value-Added Tax (“VAT”) and ","(b)  《二零一零年法律》第 41 (1) g)條及第 42 (2)和(3)條所
指的金融衍生工具（只可用作對沖用途）； "
4726,"With effect from 1 May 2016, all industries formerly subject 
to BT have transited to VAT pursuant to the Circular on 
Overall Replacement of Business Tax by Value-added Tax 
on A Pilot Basis (Caishui [2016] No. 36) jointly issued by 
MOF and SAT on 24 March 2016 (“Circular 36”).  Circular 
36 provides for a 6% VAT rate for financial services 
(including trading financial instruments), replacing the 5% 
tax rate formerly applied under the BT regime.  VAT for 
trading securities by QFIs in China is provisionally 
exempted according to the Supplemental Notice on the 
VAT Policies of Inter-bank Transactions (Caishui [2016] No. 
70) jointly issued by MOF and SAT on 30 June 2016, with a 
retrospective effect from 1 May 2016.  ","AllianceBernstein (Singapore) Ltd.的主要辦事處位於One Raffles Quay, #27-11 South Tower, Singapore 
048583，於1997年5月17日在新加坡成立，受新加坡金融管理局（Monetary Authority  of  Singapore）監
管並根據《 證券及 期貨法 》（Securities  and  Futures  Act）獲發資本 市場服務 牌照（Capital  Markets 
Service Licence），以從事資本市場產品買賣及基金管理受監管活動。  "
4727,(c) ,(c)  存管人協議；  
4728,"SD under the PRC laws generally applies to the execution 
and receipt of all taxable documents listed in the PRC's 
Provisional Rules on SD. SD is generally imposed on the 
seller of shares of Chinese companies listed on the PRC 
stock exchanges at a rate of 0.1% of the sales 
consideration.  The Fund will be subject to this tax on each 
disposal of such PRC listed shares. ","Steven  M.  Eisenberg，AllianceBernstein  L.P.  高級副總裁兼營
運總監，地址為 1345 Avenue  of  the Americas,  New York,  New 
York 10105, U.S.A.； "
4729,"Shareholders should seek their own tax advice on their tax 
position with regard to their investment in the Fund and a 
particular Portfolio. ","AllianceBernstein (Singapore) Ltd.的主要辦事處位於One Raffles Quay, #27-11 South Tower, Singapore 
048583，於1997年5月17日在新加坡成立，受新加坡金融管理局（Monetary Authority  of  Singapore）監
管並根據《 證券及 期貨法 》（Securities  and  Futures  Act）獲發資本 市場服務 牌照（Capital  Markets 
Service Licence），以從事資本市場產品買賣及基金管理受監管活動。  "
4730,"Various tax reform policies have been implemented by the 
PRC government in recent years, and existing tax laws and 
regulations may be revised or amended in the future.  
There is a possibility that the current tax laws, regulations 
and practice in the PRC will be changed with retrospective 
effect in the future and any such change may have an 
adverse effect on the net asset value of the Fund. 
Moreover, there is no assurance that tax incentives 
currently offered to companies, if any, will not be abolished 
and that existing tax laws and regulations will not be revised 
or amended in the future. Any changes in tax policies may 
reduce the after-tax profits of the companies in the PRC in ","Steven  M.  Eisenberg，AllianceBernstein  L.P.  高級副總裁兼營
運總監，地址為 1345 Avenue  of  the Americas,  New York,  New 
York 10105, U.S.A.； "
4731," 
 
which the Fund invests, thereby reducing the income from, 
and/or value of such investments. ","Steven  M.  Eisenberg，AllianceBernstein  L.P.  高級副總裁兼營
運總監，地址為 1345 Avenue  of  the Americas,  New York,  New 
York 10105, U.S.A.； "
4732,"In light of the uncertainty on the income tax treatment on 
capital gains arising from the disposal of PRC bonds, and 
in order to meet this potential tax liability for capital gains, 
the Investment Manager currently intends to make 
provisions from the relevant Portfolios of the Fund for any 
PRC WIT that is potentially payable by the such Portfolios 
at a rate of 10% on the gross realised and unrealised 
capital gains derived from the disposal of PRC bonds 
since the launch of the  relevant Portfolio of the Fund.  ","Steven  M.  Eisenberg，AllianceBernstein  L.P.  高級副總裁兼營
運總監，地址為 1345 Avenue  of  the Americas,  New York,  New 
York 10105, U.S.A.； "
4733,"Upon the availability of a definitive tax assessment by the 
competent authorities, any sums withheld in excess of the tax 
liability incurred or is expected to be incurred by the relevant 
Portfolios of the Fund shall be released and transferred to such 
Portfolio’s accounts. The amount of any such tax provision will 
be disclosed in the accounts of the Fund. ","Steven  M.  Eisenberg，AllianceBernstein  L.P.  高級副總裁兼營
運總監，地址為 1345 Avenue  of  the Americas,  New York,  New 
York 10105, U.S.A.； "
4734,"It should be noted that the actual applicable tax rates imposed 
by SAT may be different from the WIT provision.  There is a 
possibility of taxes being applied retrospectively.  As such, any 
provision for taxation made by the Investment Manager may be 
inadequate to meet actual PRC tax liabilities on gains derived 
from PRC securities held by the Fund. In such event, the Fund 
may experience a drop in NAV which may cause losses to 
investors. ","Steven  M.  Eisenberg，AllianceBernstein  L.P.  高級副總裁兼營
運總監，地址為 1345 Avenue  of  the Americas,  New York,  New 
York 10105, U.S.A.； "
4735,PRC tax disclosure regarding the China Connect Scheme  ,"Steven  M.  Eisenberg，AllianceBernstein  L.P.  高級副總裁兼營
運總監，地址為 1345 Avenue  of  the Americas,  New York,  New 
York 10105, U.S.A.； "
4736,"In addition to investing in A-Shares via the QFI status of the 
QFI Holder, the Fund may gain exposure to A-Shares through 
the China Connect Scheme, under which the Shanghai 
Connect has commenced trading as of 17 November 2014 and 
the Shenzhen Connect has commenced trading as of 5 
December 2016.   ","Steven  M.  Eisenberg，AllianceBernstein  L.P.  高級副總裁兼營
運總監，地址為 1345 Avenue  of  the Americas,  New York,  New 
York 10105, U.S.A.； "
4737,"With the approval from the PRC State Council, the PRC State 
Administration of Taxation, the PRC Ministry of Finance and 
the CSRC have jointly issued (i) Caishui [2014] 81 (“Circular 
81”) to clarify the PRC tax treatment regarding the trading 
under the Shanghai Connect; and (ii) Caishui [2016] 127 
(""Circular 127"") to expand the PRC tax treatment under 
Circular 81 to cover the tradings under the Shenzhen Stock 
Connect Scheme and clarify certain other tax issues under the 
China Connect Scheme.  Circular 81 is effective on 17 
November 2014, and Circular 127 is effective on 5 December 
2016.   ","獲中國國務院批准後，中國國家稅務總局、中國財政部及中國證
監會已共同頒佈(i)財稅[2014]  81 號（「81 號通知」），以澄清
有關根據滬港通進行買賣的中國稅務優惠；及(ii)財稅[2016] 127
號（「127 號通知」），以延伸 81 號通知所載的中國稅務優惠至
根據深港通進行的買賣及澄清中華通下的若干其他稅務事宜。81
號通知已於二零一四年十一月十七日生效，而 127 號通知則於二
零一六年十二月五日生效。 "
4738,"According to Circular 155, Circular 36, Circular 81 and Circular 
127, the Fund is subject to the following PRC income tax 
treatment with respect to the Northbound Trading under the 
China Connect Scheme (i.e. trading of certain A-Shares on 
SSE/SZSE): ","AllianceBernstein (Singapore) Ltd.的主要辦事處位於One Raffles Quay, #27-11 South Tower, Singapore 
048583，於1997年5月17日在新加坡成立，受新加坡金融管理局（Monetary Authority  of  Singapore）監
管並根據《 證券及 期貨法 》（Securities  and  Futures  Act）獲發資本 市場服務 牌照（Capital  Markets 
Service Licence），以從事資本市場產品買賣及基金管理受監管活動。  "
4739,•  Temporarily exempt from PRC WIT with respect to ,"•  其他風險。使用衍生工具涉及的其他風險包括對衍生工具
錯誤定價或不適當估值及未能將衍生工具與基礎資產、利
率及指數完全吻合。許多衍生工具，尤其是私人議定衍生
工具，均為複雜且經常被主觀地估值。不適當估值可導致
支付予對手方的現金要求增加或相關基金的價值虧損。衍
生工具的價值並非總是與其所加附的資產的價值、利率或
指數完全或甚至大致上掛鉤。因此，基金使用衍生工具不
一定可有效達到投資目標，有時甚至背道而馳。 "
4740,"•  Subject to PRC WIT at 10% with respect to dividends 
received from A-Shares (refund may be applied based 
on applicable tax treaties).   ","•  AllianceBernstein  (Japan)  Ltd. ， 主 要 辦 事 處 位 於
Hibiya  Park  Front  Building  14F,  2-1-6  Uchisaiwaicho, 
Chiyoda-ku, 14th Floor, Tokyo 100-001, Japan "
4741,"•  Temporarily exempt from PRC BT (before 1 May 
2016) and VAT (after 1 May 2016) with respect to 
gains derived from trading A-Shares. ","AllianceBernstein (Singapore) Ltd.的主要辦事處位於One Raffles Quay, #27-11 South Tower, Singapore 
048583，於1997年5月17日在新加坡成立，受新加坡金融管理局（Monetary Authority  of  Singapore）監
管並根據《 證券及 期貨法 》（Securities  and  Futures  Act）獲發資本 市場服務 牌照（Capital  Markets 
Service Licence），以從事資本市場產品買賣及基金管理受監管活動。  "
4742,II-61 ,II-61 
4743,AB FCP I ,"AB  FCP  I 乃根據盧森堡大公國法例組建及根據《二零一零年法
律》第 I 部分登記的互惠投資基金，作為其證券的非法團合資經
營 。本 傘 子 基 金 已 於 盧 森 堡 商 業 公 司 註 冊 處( Registre  de 
Commerce et des Sociétés of Luxembourg)登記，登記號碼為 K 
217。根據 UCITS 指令第 1(2)條的定義，本傘子基金取得 UCITS
的資格。管理公司根據本傘子基金的管理條例（不時修訂）並為
股東的利益而管理本傘子基金。請見「附加資料－管理條例」。
本傘子基金的資產（包括各基金的資產）與管理公司的資產分開。
本文所述由本傘子基金或基金實施的一切行動，均由管理公司或
其代理人代表本傘子基金或有關基金實施。 "
4744,"•  Subject to PRC SD at 0.1% with respect to the 
sale, inheritance and gift of A-Shares (i.e. the 
purchase of A-Shares is not subject to PRC SD).   ","Steven  M.  Eisenberg，AllianceBernstein  L.P.  高級副總裁兼營
運總監，地址為 1345 Avenue  of  the Americas,  New York,  New 
York 10105, U.S.A.； "
4745,"•  Temporarily exempt from PRC SD with respect to 
the borrowing and returning of the China Connect 
Securities under covered short selling. ","Steven  M.  Eisenberg，AllianceBernstein  L.P.  高級副總裁兼營
運總監，地址為 1345 Avenue  of  the Americas,  New York,  New 
York 10105, U.S.A.； "
4746,"Investors should note that the China Connect Scheme has 
limited or no history, and, accordingly, the taxation rules 
applicable to the China Connect Securities traded on 
SSE/SZSE are not long established and subject to change 
in the future. Investors should seek advice from their 
professional tax advisors with any questions regarding the 
China Connect Securities. ","Steven  M.  Eisenberg，AllianceBernstein  L.P.  高級副總裁兼營
運總監，地址為 1345 Avenue  of  the Americas,  New York,  New 
York 10105, U.S.A.； "
4747,"Fiscal Year 
The Fund's financial year ends 31 August. ","本傘子基金和每一基金的財政年結日為每年的  8  月  31  日。包含經審計財務報表的本傘子基金年報將在財
政年度結束後的四個月內發表。本傘子基金將在半年度期結束後的兩個月內發表半年度未經審計財務報
告。該等報告可瀏覽www.alliancebernstein.com.hk查閱。此外，年報及中期報告的印刷本可於香港代表
主要辦事處免費索取。財務報告可供查閱時將知會香港投資者。本傘子基金的經審核年報及未經審核中期
報告將僅以英文發出。 "
4748,"Duration of the Fund, Liquidation, Amalgamation 
The Fund and the various portfolios have been established 
for an indefinite period.  Shareholders, their heirs and any 
other beneficiaries may not demand the dissolution or 
division of the Fund or of a portfolio.  A portfolio may be 
dissolved by the Management Company at any time. Any 
notice of dissolution will be published in the Mémorial and in 
at least two newspapers with appropriate distribution, at 
least one of which must be a Luxembourg newspaper, to be 
determined jointly by the Management Company and the 
Depositary.  No Shares of such portfolio may be issued 
after the date of such decision of the Management 
Company.  The Fund will be dissolved when the last 
portfolio is dissolved.  In the event of the liquidation of the 
last portfolio, the Management Company will realize the 
assets of that portfolio in the best interest of the 
Shareholders, and the Depositary will distribute the net 
liquidation proceeds corresponding to each class of Shares 
of that portfolio, after deduction of liquidation charges and 
expenses, to the holders of Shares of each class in the 
proportion of the respective rights of each class, all in 
accordance with the directions of the Management 
Company.  Liquidation proceeds which cannot be 
distributed to the persons entitled thereto at the close of 
liquidation will be deposited with the Caisse de 
Consignation in Luxembourg until the applicable 
prescription period shall have elapsed. ","Steven  M.  Eisenberg，AllianceBernstein  L.P.  高級副總裁兼營
運總監，地址為 1345 Avenue  of  the Americas,  New York,  New 
York 10105, U.S.A.； "
4749,"If the Management Company decides to dissolve any 
portfolio without terminating the Fund, it will refund to the 
Shareholders of each class of such portfolio the full Net 
Asset Value of the Shares within each class of such 
portfolio.  Such action will be publicized by the Management 
Company and the proceeds of the refund which can not be 
distributed to the persons entitled thereto will be deposited 
with the Caisse de Consignation in Luxembourg within nine 
months following the decision of the Board of Managers of 
the Management Company to dissolve the relevant 
portfolio.  By decision of the Management Company, two or 
more portfolios may be amalgamated and the 
corresponding class of Shares converted into Shares of the 
corresponding class of another portfolio.  The rights of the 
different Share classes will in such event be determined in 
the proportion of the respective Net Asset Values.  Notice of 
such an amalgamation will be given at least one month 
prior thereto in order to allow investors to request ","Steven  M.  Eisenberg，AllianceBernstein  L.P.  高級副總裁兼營
運總監，地址為 1345 Avenue  of  the Americas,  New York,  New 
York 10105, U.S.A.； "
4750," 
 
redemption of their Shares without cost if they do not wish to 
participate in the portfolio so established. ","Steven  M.  Eisenberg，AllianceBernstein  L.P.  高級副總裁兼營
運總監，地址為 1345 Avenue  of  the Americas,  New York,  New 
York 10105, U.S.A.； "
4751,"Governing Language 
English will be the governing language of the Management 
Regulations, provided, however, that the Management 
Company and the Depositary may, on behalf of themselves 
and the Fund, consider as binding the translation into 
languages of the countries in which the Shares are offered and 
sold with respect to Shares of the Fund sold to investors in 
such countries. ","Steven  M.  Eisenberg，AllianceBernstein  L.P.  高級副總裁兼營
運總監，地址為 1345 Avenue  of  the Americas,  New York,  New 
York 10105, U.S.A.； "
4752,"Documents Available for Inspection 
The following documents are available for inspection during 
normal business hours at the office of the Management ","Steven  M.  Eisenberg，AllianceBernstein  L.P.  高級副總裁兼營
運總監，地址為 1345 Avenue  of  the Americas,  New York,  New 
York 10105, U.S.A.； "
4753,AB FCP I ,"AB  FCP  I 乃根據盧森堡大公國法例組建及根據《二零一零年法
律》第 I 部分登記的互惠投資基金，作為其證券的非法團合資經
營 。本 傘 子 基 金 已 於 盧 森 堡 商 業 公 司 註 冊 處( Registre  de 
Commerce et des Sociétés of Luxembourg)登記，登記號碼為 K 
217。根據 UCITS 指令第 1(2)條的定義，本傘子基金取得 UCITS
的資格。管理公司根據本傘子基金的管理條例（不時修訂）並為
股東的利益而管理本傘子基金。請見「附加資料－管理條例」。
本傘子基金的資產（包括各基金的資產）與管理公司的資產分開。
本文所述由本傘子基金或基金實施的一切行動，均由管理公司或
其代理人代表本傘子基金或有關基金實施。 "
4754,"Company:  (1) the Management Regulations; (2) the 
Depositary Agreement; (3) the Administration Agreement; 
(4) the Investment Management Agreement relating to each 
portfolio; (5) the articles of incorporation of the Management 
Company; (6) the Distribution Agreement; (7) the latest 
semi-annual and annual reports relating to the Fund and, if 
available, each portfolio; (8) the Prospectus of the Fund; 
and (9) KIDs of the Fund.  Copies of the Fund's Prospectus, 
Management Regulations, latest annual report and, if 
issued thereafter, the latest semi-annual report, as well as 
copies of the KIDs of each Portfolio of the Fund, may be 
obtained at the offices of the Management Company and 
the Distributor without cost. ","Steven  M.  Eisenberg，AllianceBernstein  L.P.  高級副總裁兼營
運總監，地址為 1345 Avenue  of  the Americas,  New York,  New 
York 10105, U.S.A.； "
4755,II-62 ,II-62 
4756,Information in relation to facilities for investors related to Article 92.1. b) to f) of the UCITS Directive and other local information. ,"Steven  M.  Eisenberg，AllianceBernstein  L.P.  高級副總裁兼營
運總監，地址為 1345 Avenue  of  the Americas,  New York,  New 
York 10105, U.S.A.； "
4757,AB FCP I ,"AB  FCP  I 乃根據盧森堡大公國法例組建及根據《二零一零年法
律》第 I 部分登記的互惠投資基金，作為其證券的非法團合資經
營 。本 傘 子 基 金 已 於 盧 森 堡 商 業 公 司 註 冊 處( Registre  de 
Commerce et des Sociétés of Luxembourg)登記，登記號碼為 K 
217。根據 UCITS 指令第 1(2)條的定義，本傘子基金取得 UCITS
的資格。管理公司根據本傘子基金的管理條例（不時修訂）並為
股東的利益而管理本傘子基金。請見「附加資料－管理條例」。
本傘子基金的資產（包括各基金的資產）與管理公司的資產分開。
本文所述由本傘子基金或基金實施的一切行動，均由管理公司或
其代理人代表本傘子基金或有關基金實施。 "
4758,II-63 ,II-63 
4759,"Where information in relation to facilities for investors related to Article 92 1. b) to f) of the UCITS 
Directive is made available. ","Steven  M.  Eisenberg，AllianceBernstein  L.P.  高級副總裁兼營
運總監，地址為 1345 Avenue  of  the Americas,  New York,  New 
York 10105, U.S.A.； "
4760,AB FCP I ,"AB  FCP  I 乃根據盧森堡大公國法例組建及根據《二零一零年法
律》第 I 部分登記的互惠投資基金，作為其證券的非法團合資經
營 。本 傘 子 基 金 已 於 盧 森 堡 商 業 公 司 註 冊 處( Registre  de 
Commerce et des Sociétés of Luxembourg)登記，登記號碼為 K 
217。根據 UCITS 指令第 1(2)條的定義，本傘子基金取得 UCITS
的資格。管理公司根據本傘子基金的管理條例（不時修訂）並為
股東的利益而管理本傘子基金。請見「附加資料－管理條例」。
本傘子基金的資產（包括各基金的資產）與管理公司的資產分開。
本文所述由本傘子基金或基金實施的一切行動，均由管理公司或
其代理人代表本傘子基金或有關基金實施。 "
4761,Available at www.eifs.lu/alliancebernstein ,登載於 www.eifs.lu/alliancebernstein 
4762,"Facilities requirements for investors related to Article 92 1. a) of the UCITS Directive will be processed by 
AllianceBernstein (Luxembourg) S.à r.l. ","AllianceBernstein (Luxembourg) S.à r.l. 
2-4, rue Eugène Ruppert 
L-2453 Luxembourg "
4763,Luxembourg ,"Elvinger Hoss Prussen（公眾有限公司） 
2, Place Winston Churchill 
B.P. 425 
L-2014 Luxembourg "
4764,"Where information in relation to 
facilities for investors related to Article 
92 1. b) to f) of the UCITS Directive is 
made available: ","Steven  M.  Eisenberg，AllianceBernstein  L.P.  高級副總裁兼營
運總監，地址為 1345 Avenue  of  the Americas,  New York,  New 
York 10105, U.S.A.； "
4765,Available at www.eifs.lu/alliancebernstein  ,登載於 www.eifs.lu/alliancebernstein 
4766,"BNP Paribas Securities Services, 3, rue d’Antin – 75002 
Paris, France is the Centralizing Correspondent of the Fund.  ","BNP Paribas Securities Services, 3, rue d’Antin – 75002 Paris,
法國為傘子基金的中央代理人。 "
4767,"Facilities requirements for investors 
related to Article 92 1. a) of the UCITS 
Directive will be processed by 
AllianceBernstein (Luxembourg) S.à r.l. ","AllianceBernstein (Luxembourg) S.à r.l. 
2-4, rue Eugène Ruppert 
L-2453 Luxembourg "
4768,II-64 ,II-64 
4769,Available at www.eifs.lu/alliancebernstein  ,登載於 www.eifs.lu/alliancebernstein 
4770,"Facilities requirements for investors 
related to Article 92 1. a) of the UCITS 
Directive will be processed by 
AllianceBernstein (Luxembourg) S.à r.l. ","AllianceBernstein (Luxembourg) S.à r.l. 
2-4, rue Eugène Ruppert 
L-2453 Luxembourg "
4771,AB FCP I ,"AB  FCP  I 乃根據盧森堡大公國法例組建及根據《二零一零年法
律》第 I 部分登記的互惠投資基金，作為其證券的非法團合資經
營 。本 傘 子 基 金 已 於 盧 森 堡 商 業 公 司 註 冊 處( Registre  de 
Commerce et des Sociétés of Luxembourg)登記，登記號碼為 K 
217。根據 UCITS 指令第 1(2)條的定義，本傘子基金取得 UCITS
的資格。管理公司根據本傘子基金的管理條例（不時修訂）並為
股東的利益而管理本傘子基金。請見「附加資料－管理條例」。
本傘子基金的資產（包括各基金的資產）與管理公司的資產分開。
本文所述由本傘子基金或基金實施的一切行動，均由管理公司或
其代理人代表本傘子基金或有關基金實施。 "
4772,"Any notices will be sent to the registered shareholders at their 
address registered in the register of shareholders and will be 
published on www.alliancebernstein.com. In the following 
cases, a notice to shareholders will be published by means of 
a durable medium: suspension of the redemption of the 
shares; termination of the management of the Fund or the 
winding-up of the Fund; amendments to the Fund rules which 
are inconsistent with existing investment principles, 
amendments to material investor rights to the detriment of 
investors, or amendments to the detriment of investors 
relating to remuneration or the reimbursement of expenses 
that may be taken out of the Fund (including the reasons for 
the amendments and the rights of investors); the merger of 
the Fund or a Portfolio; and the conversion of the Fund or a 
Portfolio into a feeder fund. ","Steven  M.  Eisenberg，AllianceBernstein  L.P.  高級副總裁兼營
運總監，地址為 1345 Avenue  of  the Americas,  New York,  New 
York 10105, U.S.A.； "
4773,"At least 50% of the following Portfolios’ respective net assets 
will be invested in equities in the meaning of Art. 2 Par. 8 of 
the German Investment Tax Act: ","Steven  M.  Eisenberg，AllianceBernstein  L.P.  高級副總裁兼營
運總監，地址為 1345 Avenue  of  the Americas,  New York,  New 
York 10105, U.S.A.； "
4774,Emerging Markets Growth Portfolio ,"AllianceBernstein (Singapore) Ltd.的主要辦事處位於One Raffles Quay, #27-11 South Tower, Singapore 
048583，於1997年5月17日在新加坡成立，受新加坡金融管理局（Monetary Authority  of  Singapore）監
管並根據《 證券及 期貨法 》（Securities  and  Futures  Act）獲發資本 市場服務 牌照（Capital  Markets 
Service Licence），以從事資本市場產品買賣及基金管理受監管活動。  "
4775,Global Equity Blend Portfolio ,"投資者應留意認購章程第 II 部分「如何購買股份」和「如何贖
回股份」分節載列的認購和贖回程序，尤其是於交易日接受認
購股份指示或贖回股份要求的截止時間。認購股份指示和贖回
要求須送至管理公司的過戶代理部，相關詳情載列於認購章程
目錄章節，另外，也可直接向融通代理的上述辦事處下達贖回
要求，收件人：Managing Director of AllianceBernstein Global "
4776,Japan Strategic Value Portfolio ,"•  AllianceBernstein  (Japan)  Ltd. ， 主 要 辦 事 處 位 於
Hibiya  Park  Front  Building  14F,  2-1-6  Uchisaiwaicho, 
Chiyoda-ku, 14th Floor, Tokyo 100-001, Japan "
4777,"At least 25% of the following Portfolios’ respective net assets 
will be invested in equities in the meaning of Art. 2 Par. 8 of 
the German Investment Tax Act: ","Steven  M.  Eisenberg，AllianceBernstein  L.P.  高級副總裁兼營
運總監，地址為 1345 Avenue  of  the Americas,  New York,  New 
York 10105, U.S.A.； "
4778,Representative of the Fund ,"Steven  M.  Eisenberg，AllianceBernstein  L.P.  高級副總裁兼營
運總監，地址為 1345 Avenue  of  the Americas,  New York,  New 
York 10105, U.S.A.； "
4779,"AllianceBernstein Hong Kong Limited, 
39th floor, One Island East, 
Taikoo Place, 18 Westlands Road Quarry Bay,  
Hong Kong ","AllianceBernstein Australia  Limited的主要辦事處位於Level  32, Aurora  Place,  88  Phillip  Street,  Sydney, 
NSW  2000，是一間於2000年11月9日在澳洲成立的公司，受澳洲證券及投資監察委員會（Australian 
Securities  and  Investments  Commission）規管，並獲授澳洲金融服務牌照（「澳洲金融服務牌照」）從事
（其中包括）金融服務業務以向零售投資者提供一般金融產品意見及進行金融產品交易。根據澳洲金融服
務牌照的條款，AllianceBernstein Australia  Limited可向批發客戶（包括註冊管理投資計劃（公開發售投
資產品／集體投資工具）、私募基金及退休金（養老金）基金的負責實體（營運機構））提供全權委託投
資管理服務，這意味著澳洲金融服務牌照令AllianceBernstein Australia  Limited能夠管理註冊管理投資計
劃的投資基金。 "
4780,"The Hong Kong Representative is authorized to receive 
requests from Hong Kong investors (including Shareholders) 
for subscription for Shares and receive requests from 
Shareholders in Hong Kong for redemption of Shares. The 
Hong Kong Representative will forward such requests to the 
Transfer Agent upon receipt. The Hong Kong Representative 
has, however, no authority to agree, on behalf of the Fund, 
that requests will be accepted. The Hong Kong 
Representative and the Fund cannot, in absence of 
negligence, accept responsibility for any failure by the Hong 
Kong Representative to forward any application, exchange or 
redemption instruction of the Fund or for any delay in doing 
so. ","Steven  M.  Eisenberg，AllianceBernstein  L.P.  高級副總裁兼營
運總監，地址為 1345 Avenue  of  the Americas,  New York,  New 
York 10105, U.S.A.； "
4781,II-65 ,II-65 
4782," 
 
 
 
 
 
 
 
Italy ","Banca Sella Holdings S.p.A., 
Piazza Gaudenzio Sella 
Biella, Italy "
4783,"BNP Paribas Securities Services SA, 
Milan Branch  
Via Ansperto 5 
Milan, Italy ","BNP Paribas Securities Services SA, 
Milan Branch   
Via Ansperto 5 
Milan, Italy "
4784,"Allfunds Bank, S.A., Milan branch  
Via Santa Margherita 7 
Milan, Italy ","Allfunds Bank, S.A., Milan branch   
Via Santa Margherita 7 
Milan, Italy "
4785,"Société Générale Securities Services 
S.p.A. 
Santa Chiara 19 
Turin, Italy ","Société Générale Securities Services 
S.p.A. 
Santa Chiara 19 
Turin, Italy "
4786,"Banca Sella Holdings S.p.A., 
Piazza Gaudenzio Sella 
Biella, Italy ","Banca Sella Holdings S.p.A., 
Piazza Gaudenzio Sella 
Biella, Italy "
4787,"CACEIS Bank, Italy  
Branch Piazza Cavour n°5 
20121 Milan, Italy ","CACEIS Bank, Italy   
Branch Piazza Cavour n°5 
20121 Milan, Italy "
4788,Poland ,"ProService Finteco Sp. z o.o. 
Konstruktorska 12A 
02-673 Warsaw, Poland "
4789,"ProService Finteco Sp. z o.o. 
Konstruktorska 12A 
02-673 Warsaw, Poland ","ProService Finteco Sp. z o.o. 
Konstruktorska 12A 
02-673 Warsaw, Poland "
4790,"Bank Polska Kasa Opieki Spółka Akcyjna 
ul. Grzybowska 53/57 
00-950 Warsaw, Poland ","Bank Polska Kasa Opieki Spółka Akcyjna 
ul. Grzybowska 53/57 
00-950 Warsaw, Poland "
4791,Singapore ,"AllianceBernstein (Singapore) Ltd. 
One Raffles Quay, 
#27-11 South Tower 
Singapore 048583 "
4792,"The paying agents in Italy may charge a commission in 
respect of each request for subscription, exchange or 
redemption of shares. ","AllianceBernstein (Singapore) Ltd.的主要辦事處位於One Raffles Quay, #27-11 South Tower, Singapore 
048583，於1997年5月17日在新加坡成立，受新加坡金融管理局（Monetary Authority  of  Singapore）監
管並根據《 證券及 期貨法 》（Securities  and  Futures  Act）獲發資本 市場服務 牌照（Capital  Markets 
Service Licence），以從事資本市場產品買賣及基金管理受監管活動。  "
4793,AB FCP I ,"AB  FCP  I 乃根據盧森堡大公國法例組建及根據《二零一零年法
律》第 I 部分登記的互惠投資基金，作為其證券的非法團合資經
營 。本 傘 子 基 金 已 於 盧 森 堡 商 業 公 司 註 冊 處( Registre  de 
Commerce et des Sociétés of Luxembourg)登記，登記號碼為 K 
217。根據 UCITS 指令第 1(2)條的定義，本傘子基金取得 UCITS
的資格。管理公司根據本傘子基金的管理條例（不時修訂）並為
股東的利益而管理本傘子基金。請見「附加資料－管理條例」。
本傘子基金的資產（包括各基金的資產）與管理公司的資產分開。
本文所述由本傘子基金或基金實施的一切行動，均由管理公司或
其代理人代表本傘子基金或有關基金實施。 "
4794,Representative of the Fund ,"Steven  M.  Eisenberg，AllianceBernstein  L.P.  高級副總裁兼營
運總監，地址為 1345 Avenue  of  the Americas,  New York,  New 
York 10105, U.S.A.； "
4795,"AllianceBernstein (Singapore) Ltd. 
One Raffles Quay, 
#27-11 South Tower 
Singapore 048583 ","AllianceBernstein (Singapore) Ltd. 
One Raffles Quay, 
#27-11 South Tower 
Singapore 048583 "
4796,"Copies of the Fund's Prospectus, Management Regulations 
and the latest annual and semi-annual reports are available 
for inspection, free of charge, at the registered office of the 
Representative of the Fund, during Singapore business hours.  ","Steven  M.  Eisenberg，AllianceBernstein  L.P.  高級副總裁兼營
運總監，地址為 1345 Avenue  of  the Americas,  New York,  New 
York 10105, U.S.A.； "
4797,Spain ,"AllFunds Bank, S.A. 
calle Nuria no. 57, 
Colonia Mirasierra 
28034 Madrid, 
Spain "
4798,Representative of the Fund ,"Steven  M.  Eisenberg，AllianceBernstein  L.P.  高級副總裁兼營
運總監，地址為 1345 Avenue  of  the Americas,  New York,  New 
York 10105, U.S.A.； "
4799,"AllFunds Bank, S.A. 
calle Nuria no. 57, 
Colonia Mirasierra 
28034 Madrid, 
Spain ","AllFunds Bank, S.A. 
calle Nuria no. 57, 
Colonia Mirasierra 
28034 Madrid, 
Spain "
4800,II-66 ,II-66 
4801," 
 
 
 
 
 
 
 
 
 
 
 
 
Switzerland ","BNP Paribas Paris, 
Succursale de Zurich   
Selnaustrasse 16 
8002 Zurich, 
Switzerland "
4802,"Representative and Paying Agent of the 
Fund ","Steven  M.  Eisenberg，AllianceBernstein  L.P.  高級副總裁兼營
運總監，地址為 1345 Avenue  of  the Americas,  New York,  New 
York 10105, U.S.A.； "
4803,"BNP Paribas Paris, 
Succursale de Zurich  
Selnaustrasse 16 
8002 Zurich, 
Switzerland ","BNP Paribas Paris, 
Succursale de Zurich   
Selnaustrasse 16 
8002 Zurich, 
Switzerland "
